Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,10,7750.349,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,11,7278.292,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,12,13216.929,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,13,7730.812,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,14,7666.028,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,15,8187.22,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,16,8484.073,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,17,6590.33,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,18,5948.906,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,19,12413.86,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,20,11890.165,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,21,10322.902,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,22,9953.863,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,23,9872.103,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,24,10365.491,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,25,10534.393,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,26,8827.817,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,27,10992.238,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,28,10995.166,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,29,10988.722,0.0,0,0,0
ETHUSDT,15m.csv,2022-01-01,2024-08-31,RSI,30,10991.405,0.0,0,0,0
