Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,10,11697.18,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,11,6911.063,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,12,11896.779,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,13,8304.31,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,14,11283.82,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,15,8633.529,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,16,7706.606,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,17,5068.108,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,18,15566.609,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,19,13162.257,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,20,12687.608,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,21,12186.66,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,22,8060.402,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,23,11699.892,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,24,8804.196,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,25,8059.618,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,26,4632.682,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,27,5461.675,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,28,5443.109,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,29,14479.169,0.0,0,0,0
BTCUSDT,1h.csv,2022-01-01,2024-08-31,RSI,30,14479.169,0.0,0,0,0
